,Age,Potential,Value,Wage,Acceleration,Aggression,Agility,Balance,Ball_control,Composure,Crossing,Curve,Dribbling,Finishing,Sprint_speed,Stamina,Strength,Vision,Preferred_Positions
3715,35,72.0,€1.4M,2000.0,67,65,75,75,72,70,49,56,67,73,63,33,71,67,ST 
3721,25,72.0,€3.4M,21000.0,82,40,88,87,72,70,66,40,75,70,81,63,45,54,ST 
3722,30,72.0,€3M,4000.0,68,43,72,59,72,73,45,55,59,71,75,79,93,49,ST 
3724,24,76.0,€4.1M,17000.0,84,74,69,58,69,66,51,54,68,71,81,84,75,70,ST 
3726,28,72.0,€3.2M,15000.0,69,74,75,66,73,72,65,68,74,69,76,65,79,69,LM ST 
3730,29,72.0,€3.1M,5000.0,33,58,45,30,67,70,34,59,63,77,41,52,92,57,ST 
3732,25,72.0,€3.4M,14000.0,73,59,64,61,67,66,60,68,63,77,71,66,59,61,ST 
3733,30,72.0,€3M,32000.0,86,67,84,71,66,71,59,64,65,69,86,85,60,71,RM ST 
3745,29,72.0,€3.1M,7000.0,82,33,71,71,75,66,55,63,73,66,82,62,73,55,CAM CF ST 
3747,25,72.0,€3.4M,14000.0,70,49,63,65,77,71,60,65,68,75,68,65,53,50,ST 
3750,22,80.0,€4.6M,31000.0,43,58,66,34,80,69,42,70,76,76,67,65,90,72,ST 
3754,30,72.0,€3M,40000.0,64,56,74,65,74,74,55,36,64,72,68,64,77,65,ST 
3767,24,76.0,€4.1M,18000.0,86,32,81,75,71,70,41,67,69,73,85,76,69,45,ST 
3778,23,78.0,€4.3M,6000.0,62,76,59,50,71,65,27,37,69,76,55,70,75,51,ST 
3780,28,72.0,€3.2M,41000.0,58,73,68,70,74,70,43,66,67,75,59,68,83,67,ST 
3783,20,82.0,€5M,19000.0,79,32,84,64,75,67,68,54,80,75,81,71,45,79,RM ST 
3788,24,76.0,€4.1M,54000.0,72,62,75,64,75,70,69,56,74,70,76,72,78,68,RM ST 
3791,20,80.0,€4.7M,32000.0,79,32,76,74,72,53,65,50,75,78,79,62,63,61,RW ST 
3800,28,72.0,€3.2M,12000.0,77,44,75,74,71,58,57,55,70,69,78,70,74,66,ST 
3804,26,75.0,€3.9M,16000.0,84,46,75,72,71,69,66,55,77,72,78,73,60,70,ST 
3809,28,72.0,€3.2M,6000.0,67,79,58,66,63,70,42,53,65,75,63,80,84,59,ST 
3810,27,72.0,€3.3M,23000.0,66,67,68,64,71,67,56,50,70,75,68,71,80,60,ST 
3818,27,73.0,€3.6M,17000.0,78,66,79,62,76,67,66,75,78,68,82,75,64,65,LM ST 
3823,27,73.0,€3.6M,38000.0,85,67,82,81,73,68,61,67,71,73,82,81,61,66,ST 
3827,30,72.0,€3M,4000.0,79,50,90,77,74,76,56,69,69,75,81,70,70,66,ST 
3831,22,81.0,€4.9M,4000.0,77,33,85,76,76,68,48,49,74,75,78,68,56,72,RM ST 
3838,29,72.0,€3.1M,4000.0,74,47,69,59,69,70,50,60,66,74,76,76,75,61,ST 
3843,27,72.0,€3.3M,14000.0,74,53,66,58,68,70,53,53,67,72,76,70,74,64,RM CAM ST 
3845,23,77.0,€4.2M,33000.0,79,43,76,68,74,49,62,65,72,72,79,73,76,58,LM ST 
3851,28,72.0,€3.2M,5000.0,52,83,33,43,68,65,29,49,62,75,54,58,86,53,ST 
3853,20,80.0,€4.6M,19000.0,77,58,84,82,76,68,58,64,77,68,75,67,46,73,ST LM CAM 
3864,25,76.0,€4.1M,14000.0,72,54,72,65,72,69,51,50,65,75,69,54,66,62,ST 
3877,30,72.0,€2.9M,13000.0,72,61,75,63,74,72,62,58,71,74,75,76,73,76,ST LM 
3879,25,75.0,€3.9M,18000.0,76,60,68,67,73,69,70,63,76,65,79,72,77,70,RB ST LM RM 
3885,32,72.0,€2.5M,6000.0,65,59,74,60,75,69,47,55,69,70,65,62,78,61,ST 
3891,33,72.0,€2M,4000.0,67,63,71,62,69,72,55,64,63,73,67,74,86,50,ST 
3892,21,80.0,€4.6M,30000.0,90,75,76,63,74,64,62,60,75,68,89,73,70,63,LW ST RW 
3905,26,73.0,€3.7M,19000.0,91,73,77,78,69,65,68,72,74,59,94,77,64,63,RM ST LM 
3916,30,72.0,€3M,9000.0,54,56,67,69,76,66,36,62,64,75,58,69,82,56,ST 
3923,30,72.0,€3M,17000.0,76,62,82,76,75,62,56,49,74,76,77,63,61,60,ST 
3944,35,72.0,€1.4M,4000.0,65,68,74,80,70,69,50,63,69,75,65,75,71,53,ST 
3955,28,72.0,€3.2M,7000.0,79,82,70,65,66,67,51,50,66,71,78,83,81,59,ST 
3958,29,72.0,€3.1M,26000.0,63,67,62,51,66,73,53,49,63,72,65,71,80,51,ST 
3971,29,72.0,€3M,3000.0,81,44,79,71,68,69,67,50,74,67,80,56,63,69,ST RM 
3972,25,72.0,€3.4M,9000.0,88,42,81,81,74,73,72,71,71,68,82,63,44,70,RM ST CAM 
3974,30,72.0,€3M,34000.0,53,74,64,56,73,65,45,52,63,72,59,68,76,51,ST 
3980,27,73.0,€3.6M,6000.0,75,68,70,64,69,67,68,61,70,73,77,69,81,63,ST 
3983,31,72.0,€2.7M,14000.0,75,52,76,72,74,73,67,67,77,73,74,64,66,59,ST RM 
4002,33,72.0,€2M,4000.0,87,45,92,88,75,70,73,84,74,73,85,80,42,68,RM ST 
4004,28,72.0,€3.2M,10000.0,76,55,82,77,74,72,70,73,77,75,78,67,64,66,ST 
4005,23,79.0,€4.4M,15000.0,75,35,73,69,68,63,67,62,70,76,72,59,59,57,ST 
4034,30,71.0,€2.3M,12000.0,67,62,61,57,74,68,44,46,65,77,53,62,79,57,CAM ST 
4040,27,72.0,€2.8M,19000.0,63,71,65,59,68,65,55,43,65,71,77,64,75,64,ST 
4050,28,71.0,€2.4M,1000.0,86,39,80,75,75,72,61,71,73,73,82,65,70,65,LM RM ST 
4056,23,76.0,€3.2M,4000.0,88,63,79,88,71,68,64,65,72,68,80,75,73,66,ST 
4069,21,83.0,€4.3M,30000.0,72,50,50,71,69,48,41,31,64,73,79,65,81,40,ST 
4070,23,75.0,€3.1M,18000.0,71,66,69,62,72,71,64,64,71,72,76,63,69,64,CF ST 
4071,26,73.0,€2.9M,7000.0,58,69,66,60,74,72,29,44,66,72,65,75,76,53,ST 
4073,24,75.0,€3.1M,6000.0,86,46,83,83,71,66,63,60,72,71,88,57,61,37,LW RW ST 
4074,23,76.0,€3.2M,26000.0,63,59,64,55,69,65,33,60,62,73,67,68,90,52,ST 
4080,24,75.0,€3.1M,14000.0,83,50,67,66,70,59,66,63,72,71,81,74,70,64,CAM ST RM 
4082,32,71.0,€1.9M,17000.0,63,60,70,70,67,65,48,61,63,76,74,66,74,54,CAM ST 
4083,28,71.0,€2.4M,9000.0,74,59,62,61,66,68,45,43,69,71,73,64,84,64,ST 
4084,24,76.0,€3.2M,21000.0,85,56,84,83,69,63,64,69,74,69,85,78,48,63,CAM ST RW 
4085,27,71.0,€2.5M,11000.0,58,23,55,65,73,70,60,58,72,74,60,68,75,66,ST 
4094,25,73.0,€2.9M,4000.0,68,41,75,65,73,73,62,71,69,70,73,68,69,63,ST 
4109,30,71.0,€2.3M,11000.0,75,22,85,65,71,64,61,67,73,68,92,89,76,57,ST 
4112,32,71.0,€1.9M,40000.0,74,34,79,64,72,72,56,62,70,72,69,74,72,71,CAM ST 
4115,27,71.0,€2.5M,20000.0,74,73,83,83,79,72,69,70,76,69,78,66,69,60,ST 
4117,24,76.0,€3.2M,20000.0,76,54,72,67,66,59,66,56,65,76,78,84,75,59,LM ST 
4122,28,71.0,€2.4M,16000.0,64,49,69,49,68,63,30,44,63,73,66,69,86,54,ST 
4124,32,71.0,€1.8M,7000.0,75,63,80,65,71,64,65,67,73,69,72,74,64,69,ST RM 
4129,26,72.0,€2.8M,15000.0,83,71,79,71,65,64,67,60,70,69,82,72,68,66,ST LM 
4144,32,71.0,€1.9M,8000.0,54,77,69,76,71,81,64,65,65,66,61,68,86,75,CAM ST 
4153,29,71.0,€2.4M,5000.0,81,67,81,79,70,63,47,50,74,70,80,67,61,57,LM ST 
4159,21,76.0,€3.2M,10000.0,66,58,69,63,72,60,52,52,68,70,64,56,63,42,CAM ST 
4160,24,75.0,€3.1M,6000.0,78,79,79,50,70,71,45,63,73,69,78,69,73,60,LW ST 
4165,24,76.0,€3.2M,21000.0,80,58,83,77,68,68,68,69,73,69,81,75,63,68,ST CAM LM RM 
4171,26,72.0,€2.8M,18000.0,67,60,76,69,73,64,72,62,74,72,74,64,73,68,LW ST RM RW 
4178,24,75.0,€3.1M,23000.0,79,40,85,87,73,68,68,61,73,72,78,76,63,61,LM ST RM 
4186,28,71.0,€2.4M,22000.0,66,48,60,61,70,72,39,55,64,77,58,56,72,37,ST 
4194,21,80.0,€3.7M,5000.0,88,64,86,87,71,71,63,61,75,67,86,75,71,66,ST RW LW 
4196,26,72.0,€2.8M,12000.0,84,43,88,80,69,70,65,58,71,71,85,68,61,64,ST 
4201,29,71.0,€2.4M,21000.0,71,73,63,67,67,69,61,65,63,72,74,85,78,59,ST 
4206,21,82.0,€4.1M,20000.0,85,62,80,79,72,64,64,65,75,70,83,69,51,63,ST RW LW 
4207,30,71.0,€2.2M,11000.0,77,49,78,78,71,61,68,58,75,71,77,61,59,66,ST RM 
4216,33,71.0,€1.5M,4000.0,94,66,80,74,60,70,72,65,65,66,92,60,80,63,CAM ST 
4222,24,76.0,€3.2M,19000.0,67,46,58,37,70,69,44,47,66,73,66,65,79,59,ST 
4224,28,71.0,€2.4M,9000.0,78,83,77,53,68,69,55,60,65,71,80,66,75,53,ST 
4236,22,78.0,€3.3M,6000.0,96,50,85,80,68,70,59,63,74,64,92,66,59,62,ST CF RM LM 
4238,20,80.0,€3.7M,26000.0,84,39,84,79,70,48,63,63,74,73,77,61,59,62,ST 
4245,29,71.0,€2.4M,13000.0,76,74,82,84,72,62,62,63,72,73,77,73,45,60,LM ST 
4253,26,74.0,€3M,4000.0,62,54,71,60,64,67,45,60,64,75,66,74,80,53,ST 
4254,25,75.0,€3.1M,26000.0,91,46,71,67,68,77,48,60,70,75,90,67,62,55,ST 
4260,29,71.0,€2.4M,7000.0,75,61,78,65,68,72,56,50,65,64,74,76,79,56,ST 
4261,30,71.0,€2.3M,8000.0,74,47,64,75,65,59,59,59,70,71,80,69,76,47,ST 
4263,29,71.0,€2.3M,6000.0,85,64,79,63,66,70,67,54,70,72,85,82,62,59,ST LM RM 
4264,29,71.0,€2.4M,17000.0,67,57,74,78,75,77,62,70,76,67,68,76,70,68,ST 
4282,35,71.0,€1.1M,9000.0,69,80,71,74,68,66,68,62,65,72,53,32,75,41,ST 
4287,26,72.0,€2.8M,14000.0,69,47,37,38,63,55,57,56,64,75,70,70,78,62,ST 
4313,26,74.0,€3M,19000.0,68,69,74,66,71,72,54,67,74,69,75,73,73,72,LM CAM ST 
4336,38,71.0,€850K,7000.0,67,44,65,63,67,72,69,83,67,70,66,46,70,68,ST 
4341,22,80.0,€3.6M,6000.0,84,40,80,79,73,59,65,58,74,71,83,55,58,61,RM ST LM 
4342,35,71.0,€1.1M,7000.0,39,66,63,61,65,78,61,65,62,74,46,45,80,63,ST 
4349,25,74.0,€3M,16000.0,76,65,76,67,70,53,58,66,68,71,75,69,71,66,LW ST 
4352,29,71.0,€2.4M,9000.0,69,66,72,49,70,64,40,68,71,74,72,69,77,58,ST 
4361,27,72.0,€0,0.0,68,51,62,73,63,72,35,56,62,76,73,79,70,51,ST 
4365,29,71.0,€2.4M,10000.0,78,71,76,79,69,67,64,43,71,73,75,71,63,57,ST 
4368,26,72.0,€2.8M,16000.0,76,58,69,60,74,77,60,61,76,69,85,70,80,64,RW ST RM 
4377,25,76.0,€3.2M,17000.0,75,49,71,55,66,61,42,59,72,73,79,76,81,43,ST 
4379,31,71.0,€2.1M,19000.0,65,57,70,66,73,73,68,70,71,67,65,61,64,71,CAM ST CF 
4393,26,72.0,€2.8M,12000.0,75,28,69,52,72,57,62,50,74,67,80,64,85,57,LM RM ST 
4395,24,75.0,€3.1M,1000.0,65,61,72,65,70,65,62,70,65,70,72,71,73,74,ST RM CAM 
4396,21,78.0,€3.4M,6000.0,74,34,72,78,78,62,62,65,75,66,67,57,56,63,RM ST CAM 
4397,29,71.0,€2.4M,11000.0,65,77,69,70,71,71,59,58,69,70,62,65,83,65,ST 
4405,23,78.0,€3.4M,18000.0,55,69,58,56,66,55,64,44,71,73,68,69,75,65,LM ST 
4407,32,71.0,€1.9M,8000.0,53,64,50,42,73,77,54,63,67,69,55,57,85,70,ST 
4409,29,71.0,€2.4M,4000.0,83,50,82,74,69,75,33,52,63,72,86,74,74,51,ST 
4424,32,71.0,€1.9M,6000.0,72,67,91,77,72,73,62,66,72,71,75,69,29,74,CF ST 
4425,26,73.0,€2.9M,10000.0,70,73,70,69,65,70,43,58,68,76,71,73,83,60,ST 
4431,25,75.0,€3.1M,5000.0,76,53,73,46,72,65,57,63,68,70,80,68,80,66,ST 
4435,30,71.0,€2.2M,13000.0,85,71,74,78,69,72,66,61,72,64,92,86,65,64,RM ST LM 
4437,24,78.0,€3.4M,7000.0,79,72,77,73,69,64,75,68,70,68,77,70,71,67,RM LM ST 
4445,29,71.0,€2.3M,12000.0,64,57,80,64,74,60,60,74,66,62,62,74,58,75,CF CM ST CAM 
4446,26,73.0,€2.9M,11000.0,74,54,74,60,72,56,64,74,73,68,76,71,74,68,ST CAM 
4448,30,71.0,€2.3M,14000.0,53,70,53,47,64,67,36,38,64,74,63,49,90,44,ST 
4449,25,75.0,€3.1M,41000.0,67,35,71,72,71,66,52,62,65,73,68,55,73,43,ST 
4461,24,74.0,€3.1M,6000.0,71,70,83,74,65,69,65,74,67,72,69,74,69,68,ST 
4462,25,72.0,€2.8M,7000.0,84,78,85,70,68,73,60,72,72,67,84,69,64,65,ST LW 
4464,28,71.0,€2.4M,25000.0,83,45,75,78,70,70,51,74,70,72,79,68,59,59,ST 
4473,20,82.0,€4.1M,15000.0,79,61,78,77,74,61,45,47,76,74,77,75,61,50,RW ST 
4474,33,71.0,€1.5M,27000.0,86,42,93,88,75,79,40,76,73,71,85,70,32,65,LW CF ST 
4475,26,74.0,€3M,24000.0,67,79,58,58,66,69,52,45,65,72,76,72,86,50,ST 
4486,29,71.0,€2.4M,8000.0,60,79,46,43,65,66,40,41,62,73,71,71,90,54,ST 
4504,27,72.0,€2.8M,16000.0,80,53,82,72,72,66,43,53,71,70,80,78,65,42,ST 
4514,33,71.0,€1.5M,15000.0,66,60,67,57,75,71,57,67,74,71,62,65,79,66,ST 
4525,25,74.0,€3M,17000.0,46,71,65,45,69,65,46,48,64,70,62,70,85,71,ST 
4538,32,71.0,€1.9M,23000.0,72,72,74,56,68,65,56,69,70,66,75,71,82,64,LM ST 
4547,20,81.0,€3.8M,48000.0,79,56,81,75,73,60,69,73,75,64,72,59,71,67,LM CAM ST RM 
4548,33,71.0,€1.5M,40000.0,70,43,73,65,68,79,54,68,62,73,66,47,68,50,ST 
4551,31,71.0,€2.1M,8000.0,72,59,67,67,68,71,59,70,67,74,75,87,71,72,ST 
4555,35,71.0,€1.1M,7000.0,37,50,78,78,70,67,53,71,70,72,57,55,64,65,CAM ST 
4558,30,71.0,€2.3M,14000.0,71,43,63,68,77,65,65,61,72,75,75,70,71,61,RM RW ST 
4563,33,71.0,€1.5M,6000.0,67,38,61,59,62,60,54,66,61,77,66,51,90,51,ST 
4569,24,74.0,€3M,14000.0,76,42,75,59,73,63,67,65,76,69,76,57,57,66,ST LM 
4578,26,72.0,€2.8M,32000.0,90,41,84,81,71,44,69,65,77,63,91,67,64,60,ST RM LW 
4582,28,71.0,€2.4M,29000.0,71,52,72,55,69,68,43,70,72,71,74,78,80,46,ST 
4585,22,78.0,€3.4M,1000.0,72,70,71,61,71,61,63,60,73,71,78,69,65,61,LM RM ST 
4590,28,71.0,€2.4M,7000.0,70,56,73,76,69,67,68,52,69,72,71,76,69,60,ST 
4615,26,71.0,€2.5M,7000.0,91,70,84,73,74,69,57,70,78,62,90,80,64,64,ST CAM LM RM 
4617,21,81.0,€3.9M,10000.0,62,54,76,57,72,66,54,74,71,71,66,65,66,58,ST 
4618,29,71.0,€2.4M,8000.0,66,80,63,68,67,68,55,54,66,68,66,69,79,64,LM ST 
4620,32,71.0,€1.8M,17000.0,83,78,77,65,74,70,67,65,75,66,85,74,81,60,ST RW 
4636,23,77.0,€3.2M,23000.0,86,43,79,74,69,61,61,58,77,64,85,71,60,63,ST CAM LM RM 
4638,23,75.0,€3.1M,11000.0,62,58,50,32,69,67,56,46,64,70,69,68,89,56,ST 
4651,27,72.0,€2.8M,25000.0,78,87,75,66,74,65,39,42,73,72,70,60,73,54,ST 
4654,32,71.0,€1.9M,12000.0,67,85,69,68,66,73,58,59,65,72,64,55,80,65,ST 
4663,28,71.0,€2.4M,39000.0,39,72,47,32,67,67,51,60,60,73,61,72,90,66,ST 
4671,24,75.0,€3.1M,13000.0,74,68,74,72,68,64,63,56,70,71,77,74,72,55,LM ST 
4675,25,74.0,€3M,34000.0,83,30,73,73,72,66,56,64,67,75,84,78,69,57,ST 
4676,29,71.0,€2.3M,23000.0,91,51,90,75,71,57,65,54,73,62,91,78,48,64,ST LW RW 
4682,29,71.0,€2.4M,6000.0,71,45,60,55,66,68,40,45,59,76,71,63,79,57,ST 
4686,34,71.0,€1.2M,7000.0,55,65,65,62,72,70,53,65,68,73,51,78,65,57,RW ST 
4697,29,71.0,€2.4M,5000.0,73,69,75,75,68,60,60,69,67,72,72,68,78,67,CF ST 
4698,30,71.0,€2.3M,11000.0,65,72,67,42,70,71,32,55,67,71,64,71,85,61,ST 
4699,24,75.0,€3.1M,9000.0,51,60,59,55,69,70,38,59,63,74,64,66,72,57,ST 
4704,29,71.0,€2.4M,26000.0,70,74,77,61,66,70,53,49,70,68,83,67,82,68,ST 
4705,26,74.0,€2.9M,7000.0,61,59,58,70,74,68,61,81,69,73,67,79,60,69,ST RM CAM 
4724,31,71.0,€2.1M,18000.0,73,75,72,66,71,67,68,58,71,73,74,80,73,60,LW ST RW 
4726,33,71.0,€1.5M,7000.0,66,60,67,57,75,71,57,67,74,71,62,65,79,66,ST 
4738,28,71.0,€2.4M,12000.0,77,73,73,60,68,67,68,54,72,69,78,79,78,68,ST RM LM 
4754,27,72.0,€2.2M,15000.0,32,78,33,34,66,70,37,51,49,61,30,62,93,33,ST CB 
4766,30,71.0,€2.3M,10000.0,82,54,75,62,67,68,59,54,65,70,85,72,71,57,ST 
4776,24,75.0,€3.1M,5000.0,68,61,73,61,68,60,29,44,68,75,78,75,77,49,ST 
4787,25,74.0,€3M,20000.0,90,65,91,89,68,70,62,62,74,66,90,70,59,62,RW ST RM 
4788,25,75.0,€3.1M,1000.0,69,48,48,45,60,62,29,30,63,67,67,57,82,49,ST 
4789,35,71.0,€1.1M,5000.0,78,64,66,75,61,74,64,68,62,75,76,71,63,65,ST 
4790,22,77.0,€3.2M,10000.0,92,71,89,84,71,74,64,72,73,70,92,85,38,56,CF ST LM 
4791,25,74.0,€3M,7000.0,74,72,72,76,70,60,52,58,66,69,74,72,75,67,ST 
4799,27,71.0,€2.5M,13000.0,84,77,80,77,74,66,66,59,72,66,87,62,66,66,LM ST RM 
4801,23,78.0,€3.4M,20000.0,63,65,54,33,67,67,38,49,70,69,76,70,85,47,ST 
4810,22,80.0,€3.7M,6000.0,89,79,78,73,63,60,49,45,63,68,89,76,78,55,RM LM ST 
4822,28,71.0,€2.4M,7000.0,76,45,82,68,72,65,68,68,72,76,67,76,70,63,LW ST 
4828,28,71.0,€2.4M,8000.0,80,79,68,58,71,64,38,49,66,73,74,80,77,62,ST 
4840,27,71.0,€2.5M,8000.0,90,48,91,80,73,64,70,73,72,60,76,64,50,63,ST CAM 
4844,25,72.0,€2.9M,7000.0,85,63,76,52,63,61,59,60,74,68,87,88,79,71,LM RM ST 
4845,29,71.0,€2.4M,8000.0,66,56,60,54,62,60,40,41,66,74,67,64,77,76,ST 
4846,25,71.0,€2.6M,4000.0,81,53,63,68,74,64,72,68,75,72,83,55,71,53,ST LM 
4850,33,71.0,€1.5M,4000.0,86,42,93,88,75,79,40,76,73,71,85,70,32,65,LW CF ST 
4858,26,70.0,€1.9M,18000.0,79,58,77,80,68,66,56,65,70,70,74,72,58,65,CAM ST 
4863,29,70.0,€1.8M,1000.0,76,43,82,84,69,73,54,63,67,74,71,70,58,68,CAM ST CF 
4867,19,84.0,€3.8M,38000.0,76,34,73,69,76,64,54,54,73,70,74,68,70,63,ST 
4870,30,70.0,€0,0.0,66,61,48,43,66,73,42,67,57,75,63,51,81,61,ST 
4882,31,70.0,€1.6M,9000.0,54,33,74,66,67,70,58,42,63,74,57,70,83,58,ST 
4893,25,74.0,€2.3M,1000.0,88,68,82,74,70,77,53,63,75,68,84,64,56,70,LW RW ST 
4903,29,70.0,€1.8M,21000.0,51,54,40,32,66,70,33,66,58,73,55,62,89,51,ST 
4907,23,79.0,€2.8M,15000.0,88,36,87,91,79,60,66,57,76,73,85,62,38,62,LM LW ST 
4909,33,70.0,€1.1M,7000.0,47,81,41,39,63,76,51,63,52,69,44,72,86,73,CAM CF ST 
4916,21,79.0,€2.8M,16000.0,63,35,62,68,69,62,47,50,67,78,62,53,50,52,ST 
4936,30,70.0,€1.7M,2000.0,67,56,72,59,67,70,42,38,70,72,66,63,71,57,ST 
4940,21,81.0,€3.1M,15000.0,65,64,55,58,68,59,35,64,64,69,67,59,85,54,ST 
4944,29,70.0,€1.8M,5000.0,63,52,71,56,69,70,40,62,59,71,61,73,81,55,ST 
4950,25,72.0,€2.2M,10000.0,63,74,64,48,65,61,48,57,67,71,59,58,84,52,ST 
4951,23,74.0,€2.4M,7000.0,76,46,73,70,67,72,51,54,68,69,83,60,81,59,ST 
4960,29,70.0,€1.8M,17000.0,76,94,74,76,67,67,49,49,64,69,76,76,76,55,ST 
4975,31,70.0,€1.6M,19000.0,45,54,30,36,69,60,41,58,63,72,38,72,88,60,ST 
4978,27,70.0,€1.9M,28000.0,52,74,53,56,67,68,58,60,66,69,66,62,90,66,CAM ST 
4983,28,70.0,€1.8M,36000.0,79,47,81,83,73,67,48,65,69,70,81,82,60,55,CF ST 
4986,23,76.0,€2.5M,16000.0,82,61,77,73,67,63,49,62,74,70,81,65,78,58,ST 
5000,25,73.0,€2.2M,8000.0,88,75,79,73,71,69,62,44,72,64,87,70,62,64,ST RM 
5004,26,71.0,€2.1M,6000.0,77,62,67,64,66,74,62,57,64,68,83,93,72,68,ST 
5007,28,70.0,€1.8M,20000.0,73,53,78,74,69,65,59,33,66,72,72,65,57,52,LM RM ST 
5010,32,70.0,€1.4M,4000.0,69,65,66,64,66,54,64,67,64,68,67,70,77,73,CAM ST 
5011,20,81.0,€3.1M,18000.0,90,66,80,74,72,62,49,60,71,73,89,74,78,59,CAM LM ST 
5013,28,70.0,€1.8M,19000.0,88,49,84,83,64,60,65,49,66,74,91,65,68,58,ST 
5015,26,70.0,€1.9M,14000.0,88,62,84,88,69,67,56,63,73,67,92,75,61,63,ST 
5028,24,74.0,€2.4M,8000.0,72,59,69,77,68,57,44,53,69,67,73,50,69,58,ST 
5036,26,72.0,€2.2M,8000.0,62,36,67,59,77,67,39,65,70,71,62,65,76,62,ST 
5041,21,80.0,€2.9M,32000.0,91,58,85,93,77,64,64,68,75,50,89,70,33,68,RM CF ST RW 
5051,22,76.0,€2.5M,9000.0,73,52,69,62,65,75,44,42,67,74,75,76,76,58,ST 
5053,30,70.0,€1.7M,23000.0,81,65,75,76,67,62,68,39,72,68,75,65,62,61,ST RM 
5056,32,70.0,€1.4M,9000.0,71,48,73,61,67,64,65,58,69,70,77,77,70,63,ST LM 
5058,28,70.0,€1.8M,19000.0,53,81,46,37,54,74,38,37,51,76,55,69,87,50,ST 
5066,30,70.0,€1.7M,5000.0,66,55,73,53,66,67,35,34,57,72,68,71,81,53,ST 
5069,26,73.0,€2.2M,21000.0,86,47,76,66,74,63,68,75,76,67,87,55,70,50,LM RM ST 
5072,26,73.0,€2.2M,8000.0,68,55,71,62,71,70,59,61,70,71,77,73,86,57,ST 
5074,21,78.0,€2.7M,13000.0,63,46,56,58,62,62,36,35,64,68,66,68,72,51,ST 
5075,34,70.0,€925K,10000.0,52,72,61,66,70,56,52,57,65,61,69,75,87,51,ST 
5076,34,70.0,€925K,5000.0,60,63,64,56,65,71,51,63,62,72,65,60,80,55,ST 
5077,28,70.0,€1.8M,24000.0,55,52,44,33,67,66,50,64,65,72,55,74,90,52,ST 
5088,33,70.0,€1.1M,6000.0,80,49,74,66,69,65,59,68,68,75,82,68,67,60,ST 
5091,22,78.0,€2.6M,18000.0,78,34,91,92,70,71,67,65,71,67,76,63,49,66,ST CAM 
5109,21,80.0,€2.9M,7000.0,89,60,86,78,76,70,64,66,78,65,90,71,56,58,RM ST 
5111,19,85.0,€3.8M,9000.0,89,55,95,93,80,54,59,53,86,65,81,61,43,58,ST RM 
5129,24,74.0,€2.4M,21000.0,80,46,80,72,72,68,43,54,69,69,77,62,64,67,ST 
5134,27,70.0,€1.9M,5000.0,78,67,74,67,68,70,68,59,73,68,81,74,60,68,ST CAM 
5144,21,78.0,€2.6M,14000.0,78,47,80,57,69,63,71,74,73,66,81,64,68,60,ST RM 
5156,28,70.0,€1.8M,8000.0,67,65,68,66,68,79,64,69,70,66,65,68,83,67,LW ST 
5157,33,70.0,€1.1M,5000.0,61,80,72,60,68,76,47,66,64,67,67,55,81,61,ST 
5159,29,70.0,€1.7M,21000.0,71,45,83,81,71,62,71,45,77,61,72,62,61,71,ST CAM 
5163,33,70.0,€1.1M,25000.0,77,77,78,68,50,74,55,61,58,78,76,92,74,52,ST 
5168,19,85.0,€3.8M,6000.0,67,61,72,62,71,65,34,69,69,68,70,68,63,59,ST 
5174,25,72.0,€2.2M,4000.0,71,62,68,66,70,70,66,55,72,68,69,67,71,68,RM LM ST 
5175,26,73.0,€2.2M,17000.0,73,43,79,70,70,67,68,59,73,70,82,53,68,57,LM RM ST 
5179,33,70.0,€1.1M,6000.0,67,78,66,71,71,62,69,60,69,65,69,72,68,69,ST CAM 
5180,20,84.0,€3.9M,32000.0,85,59,67,66,69,64,63,62,73,67,94,62,79,57,ST RM 
5182,28,70.0,€1.8M,13000.0,65,62,58,47,62,62,29,58,52,73,68,68,77,49,ST 
5185,22,79.0,€2.8M,9000.0,71,70,72,58,68,69,31,41,67,70,73,75,76,39,ST 
5193,30,70.0,€1.7M,10000.0,69,54,61,67,75,61,46,70,71,70,68,55,70,58,CAM LW ST 
5195,28,70.0,€1.8M,12000.0,67,51,68,60,71,65,41,67,66,71,71,82,72,51,ST 
5201,24,76.0,€2.5M,7000.0,74,56,72,66,76,60,58,65,72,68,74,82,67,58,RM ST 
5202,26,71.0,€2.1M,18000.0,84,46,85,63,70,63,68,45,71,72,90,71,75,51,LM ST 
5204,24,75.0,€2.4M,4000.0,75,25,90,83,75,76,67,58,82,74,76,71,56,78,CF CAM ST 
5211,29,70.0,€1.8M,9000.0,92,32,83,80,66,62,63,47,68,73,92,71,62,48,LM ST 
5215,29,70.0,€1.8M,29000.0,77,41,79,72,60,69,55,36,57,76,82,83,62,55,ST 
5216,22,82.0,€3.2M,17000.0,79,57,78,77,75,64,62,71,76,74,84,62,67,49,ST CAM LM RW 
5220,25,75.0,€2.4M,6000.0,81,54,81,76,70,61,67,68,73,69,80,57,56,64,LM ST RM CAM 
5221,23,77.0,€2.5M,24000.0,78,35,76,66,75,67,72,59,74,69,76,72,67,70,CF RW ST 
5228,27,71.0,€2.1M,2000.0,77,63,71,76,70,65,55,61,71,72,75,69,65,65,ST 
5229,27,71.0,€2.1M,7000.0,89,75,72,85,72,68,58,72,71,72,80,71,57,68,CAM ST 
